train,train_accuracy,val,val_accuracy,lr
0.4419912184079488,0.8419375,0.45950075857182765,0.83625,0.001
0.383623396952947,0.8615208333333333,0.4023600461635184,0.8579166666666667,0.001
0.3344636415243149,0.8810833333333333,0.3532382455912042,0.8735833333333334,0.001
0.3114982808828354,0.8851875,0.3403052633747141,0.8760833333333333,0.001
0.28234978608290356,0.8992083333333334,0.3145108029563376,0.888,0.001
0.2699711907903353,0.9034791666666667,0.30856944176744905,0.8898333333333334,0.001
0.24930794630448022,0.9118333333333334,0.28748609537773945,0.8963333333333333,0.001
0.23668498597542445,0.9153541666666667,0.2840527061452257,0.89825,0.001
0.22993545814355215,0.91675,0.28438355535902876,0.9000833333333333,0.001
0.2225614407857259,0.92025,0.28156693121220205,0.901,0.001
0.20970051393906275,0.9264791666666666,0.2766488660523232,0.9014166666666666,0.001
0.1971190611322721,0.9315,0.2611974173403801,0.9081666666666667,0.001
0.1894617549777031,0.932,0.26945390694953025,0.9065833333333333,0.001
0.1909511853059133,0.9323541666666667,0.27760976774895446,0.9046666666666666,0.001
0.17900074122349421,0.9352708333333334,0.26574827223382097,0.9075,0.001
0.17151423148314157,0.938,0.26601178880701676,0.9085,0.001
0.17681606656312943,0.9360416666666667,0.27198856847083314,0.9049166666666667,0.001
0.15325129966934523,0.9461875,0.2637222777021692,0.90725,0.0005
0.1306542827884356,0.9546041666666667,0.2553814763718463,0.9133333333333333,0.0005
0.13278240791956583,0.9536666666666667,0.26315285582491693,0.9095,0.0005
0.12106634892026584,0.9585833333333333,0.2618049738254953,0.9125833333333333,0.0005
0.1198760414024194,0.9588125,0.2646735193247491,0.9098333333333334,0.0005
0.1117886797785759,0.9611875,0.2658927963769182,0.9126666666666666,0.0005
0.11758119428157807,0.9591666666666666,0.2776437591999135,0.91175,0.0005
0.10614184572796027,0.9643125,0.2733554180632246,0.913,0.00025
0.09402247443298499,0.9698333333333333,0.2661328486939694,0.9125833333333333,0.00025
0.09213803142309189,0.9706458333333333,0.27069045698389094,0.913,0.00025
0.08845193027953306,0.9713958333333333,0.2722843647637266,0.913,0.00025
0.08674386797845364,0.9727708333333334,0.2707819237988046,0.9153333333333333,0.00025
0.0859016050149997,0.9726666666666667,0.27586930831696127,0.9115833333333333,0.00025
0.08636450737714768,0.9715,0.28477391410381236,0.91025,0.000125
0.07999334155519804,0.9755208333333333,0.27985872867259576,0.91325,0.000125
0.07775638080139954,0.9765,0.28024244784040653,0.9144166666666667,0.000125
0.07911866777141889,0.9755833333333334,0.28602905222710145,0.9118333333333334,0.000125
0.0752807924548785,0.9773125,0.2812475384549892,0.9129166666666667,0.000125
0.07506366634865602,0.9774791666666667,0.2858902761276732,0.91075,0.000125
0.07465355776250363,0.9772083333333333,0.28706445243764434,0.9119166666666667,6.25e-05
0.07281764267881712,0.9782291666666667,0.28751690717453654,0.9125833333333333,6.25e-05
0.07145443771282832,0.97875,0.28765910039556786,0.9119166666666667,6.25e-05
0.07041101049880187,0.9795208333333333,0.28774625411693083,0.9126666666666666,6.25e-05
0.06964549331367016,0.9795833333333334,0.28863909903992996,0.912,6.25e-05
0.0696647339661916,0.9796666666666667,0.2920467647466254,0.9120833333333334,6.25e-05
0.06971444268524647,0.97975,0.2922288509125405,0.9129166666666667,3.125e-05
0.06862539154787858,0.98025,0.29169157210816726,0.912,3.125e-05
0.06775692833960056,0.9810625,0.29167947109709397,0.9121666666666667,3.125e-05
0.06729594926536084,0.981125,0.2931796109422724,0.9115,3.125e-05
0.06717089315255483,0.9809791666666666,0.2931501909773401,0.9129166666666667,3.125e-05
0.06705960551897684,0.9805833333333334,0.29363714824331566,0.9125833333333333,3.125e-05
0.06649180909991265,0.9809375,0.29372551688488496,0.9125833333333333,1.5625e-05
0.06615360069274902,0.9811666666666666,0.29384459047875505,0.9124166666666667,1.5625e-05
